,Ingredients,Amount,Measure,Item
3297,"1/2 teaspoon soy sauce, plus more to taste",0.5 tsp.,teaspoon,soy sauce
3298,1/2 teaspoon sugar or honey (optional),0.5 tsp.,teaspoon,sugar or honey ( optional )
3299,"Cooked sticky or white rice, for serving",,, Cooked sticky or white rice
3300,"2/3 cup cilantro leaves and tender stems, for serving",0.666667 cup,cup,cilantro leaves and tender stems
3301,"1/3 cup torn basil leaves (or use more cilantro), for serving",0.333333 cup,cup,torn basil leaves ( or use more cilantro )
3302,"1 fresh bird’s-eye or serrano chile, thinly sliced, for serving",1 ,unit,fresh bird ’s eye or serrano chile
3303,Kosher salt and black pepper,,, Kosher salt and black pepper
3304,4 tablespoons olive oil,4 tbsp.,tablespoon,olive oil
3305,3 tablespoons drained jarred capers,3 tbsp.,tablespoon,drained jarred capers
3306,3 tablespoons tomato paste,3 tbsp.,tablespoon,tomato paste
3307,"3 garlic cloves, thinly sliced",,, 3 garlic cloves
3308,1 to 2 teaspoons red-pepper flakes (optional),1 tsp.,teaspoon,red pepper flakes ( optional )
3309,16 ounces orecchiette or other shaped pasta,16 oz,ounce,orecchiette or other shaped pasta
3310,"1 1/2 pounds cherry tomatoes, halved",1.5 lb,pound,cherry tomatoes
3311,"1/2 packed cup thinly sliced fresh basil, plus small whole leaves, for garnish",0.5 cup,cup,thinly sliced fresh basil
3312,"Fresh ricotta, shaved ricotta salata, or grated pecorino or Parmesan, for garnish (optional)",,, Fresh ricotta
3313,1/2 pound firm tofu,0.5 lb,pound,firm tofu
3314,1/4 cup soy sauce,0.25 cup,cup,soy sauce
3315,1 tablespoon toasted sesame oil,1 tbsp.,tablespoon,toasted sesame oil
3316,1 tablespoon rice wine vinegar,1 tbsp.,tablespoon,rice wine vinegar
3317,1 tablespoon sake,1 tbsp.,tablespoon,sake
3318,1 tablespoon brown sugar,1 tbsp.,tablespoon,brown sugar
3319,1 teaspoon grated ginger,1 tsp.,teaspoon,grated ginger
3320,Pinch of cayenne,,, Pinch of cayenne
3321,8 ounces medium spinach leaves,8 oz,ounce,medium spinach leaves
3322,2 tablespoons lime or lemon juice,2 tbsp.,tablespoon,lime or lemon juice
3323,2 teaspoons brown sugar,2 tsp.,teaspoon,brown sugar
3324,1 tablespoon toasted sesame oil,1 tbsp.,tablespoon,toasted sesame oil
3325,3 tablespoons vegetable oil,3 tbsp.,tablespoon,vegetable oil
3326,1 tablespoon soy sauce,1 tbsp.,tablespoon,soy sauce
3327,2 tablespoons white or red miso,2 tbsp.,tablespoon,white or red miso
3328,1/2 teaspoon grated garlic (from about 2 to 3 cloves),0.5 tsp.,teaspoon,grated garlic ( from about 2 to 3 cloves )
3329,1 teaspoon grated ginger (from a peeled 1-inch piece),1 tsp.,teaspoon,grated ginger ( from a peeled 1 inch piece )
3330,1 cup chopped cucumber,1 cup,cup,chopped cucumber
3331,1 cup thinly sliced daikon radish,1 cup,cup,thinly sliced daikon radish
3332,"1 cup frozen edamame, thawed",1 cup,cup,frozen edamame
3333,1 teaspoon sesame seeds,1 tsp.,teaspoon,sesame seeds
3334,2 tablespoons pumpkin seeds,2 tbsp.,tablespoon,pumpkin seeds
3335,2 tablespoons roasted peanuts,2 tbsp.,tablespoon,roasted peanuts
3336,Pinch of kosher salt or flaky sea salt,,, Pinch of kosher salt or flaky sea salt
3337,1 tablespoon canola oil,1 tbsp.,tablespoon,canola oil
3338,"1/2 pound tofu, cut in small dice",0.5 lb,pound,tofu
3339,"1 large garlic clove, minced",1 ,unit,large garlic clove
3340,1 teaspoon grated or minced fresh ginger,1 tsp.,teaspoon,grated or minced fresh ginger
3341,1/4 teaspoon red chili flakes,0.25 tsp.,teaspoon,red chili flakes
3342,Soy sauce to taste,,, Soy sauce to taste
3343,"1 6-ounce bag baby spinach, rinsed",7 oz,ounce,bag baby spinach
3344,2 tablespoons toasted sesame seeds,2 tbsp.,tablespoon,toasted sesame seeds
3345,1 teaspoon sesame oil,1 tsp.,teaspoon,sesame oil
3346,"3 garlic cloves, finely grated or chopped",,, 3 garlic cloves
3347,"1 jalapeño, finely grated or chopped",1 ,unit,jalapeño
3348,2 lemons,2 ,unit,lemons
3349,Kosher salt and freshly ground black pepper,,, Kosher salt and freshly ground black pepper
3350,4 cups vegetable or chicken broth,4 cup,cup,vegetable or chicken broth
3351,1/4 cup soy sauce,0.25 cup,cup,soy sauce
3352,"10 ounces mushrooms, such as enoki, white button, cremini or oyster",10 oz,ounce,mushrooms
3353,"1 bunch asparagus, ends trimmed, thinly sliced",1 bunch,bunch,asparagus
3354,1 1/2 cups peas (fresh or frozen),1.5 cup,cup,peas ( fresh or frozen )
3355,"1 (12- to 14-ounce) package soft tofu, drained, or use firm tofu, cut in bite-size pieces",,,12.0 14 ounce ) package soft tofu
3356,"Olive oil, for drizzling",,, Olive oil
3357,"4 scallions, very thinly sliced, for serving",4 ,unit,scallions
3358,"1 cup dates, pitted and chopped",1 cup,cup,dates
3359,1 cup boiling water,1 cup,cup,boiling water
3360,"3 tablespoons butter; cold, unsalted, cubed (plus more for greasing)",3 tbsp.,tablespoon,butter ; cold
3361,1 teaspoon baking soda,1 tsp.,teaspoon,baking soda
3362,1/4 teaspoon fine sea salt,0.25 tsp.,teaspoon,fine sea salt
3363,1/3 cup plus 1 teaspoon Demerara sugar,0.333333 cup,cup,plus 1 teaspoon Demerara sugar
3364,1/3 cup plus 1 teaspoon dark brown sugar,0.333333 cup,cup,plus 1 teaspoon dark brown sugar
3365,2 eggs,2 ,unit,eggs
3366,3/4 cup plus 2 tablespoons flour,0.75 cup,cup,plus 2 tablespoons flour
3367,1 teaspoon vanilla extract,1 tsp.,teaspoon,vanilla extract
3368,5 tablespoons butter,5 tbsp.,tablespoon,butter
3369,1 cup cream,1 cup,cup,cream
3370,6 tablespoons dark brown sugar,6 tbsp.,tablespoon,dark brown sugar
3371,1/8 teaspoon fine sea salt,0.125 tsp.,teaspoon,fine sea salt
3372,3 tablespoons butter,3 tbsp.,tablespoon,butter
3373,"1 1/4 cup cream, plus more for serving, if you like",1.25 cup,cup,cream
3374,3 tablespoons dark brown sugar,3 tbsp.,tablespoon,dark brown sugar
3375,1/8 teaspoon fine sea salt,0.125 tsp.,teaspoon,fine sea salt
3376,"One 14-ounce box firm tofu, drained and cut in 1/4-inch thick, 2-inch by 3/4-inch dominoes",14 oz,ounce,box firm tofu
3377,1 to 2 tablespoons soy sauce (to taste),1 tbsp.,tablespoon,soy sauce ( to taste )
3378,1 tablespoon Chinese cooking sherry (Shaoxing rice wine) or dry sherry,1 tbsp.,tablespoon,Chinese cooking sherry ( Shaoxing rice wine ) or dry sherry
3379,"1/2 cup vegetable stock, chicken stock, or water",0.5 cup,cup,vegetable stock
3380,"1/4 to 1/2 teaspoon salt, to taste",0.25 tsp.,teaspoon,salt
3381,"1/4 to 1/2 teaspoon sugar, to taste",0.25 tsp.,teaspoon,sugar
3382,"1 teaspoon cornstarch or arrowroot dissolved in 2 tablespoons vegetable stock, chicken stock, or water",1 tsp.,teaspoon,cornstarch or arrowroot dissolved in 2 tablespoons vegetable stock
3383,"2 tablespoons peanut, canola, sunflower, or grape seed oil",2 tbsp.,tablespoon,peanut
3384,1 tablespoon minced garlic,1 tbsp.,tablespoon,minced garlic
3385,1 tablespoon minced ginger,1 tbsp.,tablespoon,minced ginger
3386,"1 or 2 Thai or serrano chiles, minced (to taste)",1 ,unit,or 2 Thai or serrano chiles
3387,"1 pound green beans, or 1/2 pound each yellow and green beans, stem ends trimmed",1 lb,pound,green beans
3388,"1 bunch scallions, white and green parts separated",1 bunch,bunch,scallions
3389,1/2 cup chopped cilantro,0.5 cup,cup,chopped cilantro
3390,2 tablespoons soy sauce,2 tbsp.,tablespoon,soy sauce
3391,2 tablespoons rice wine vinegar,2 tbsp.,tablespoon,rice wine vinegar
3392,1 1/2 tablespoons sesame oil,1.5 tbsp.,tablespoon,sesame oil
3393,2 teaspoons light brown sugar,2 tsp.,teaspoon,light brown sugar
3394,"3/4 pound boneless chicken thighs, cut into 1/2-inch strips",0.75 lb,pound,boneless chicken thighs
3395,2 tablespoons finely chopped gingerroot,2 tbsp.,tablespoon,finely chopped gingerroot
3396,"2 cloves garlic, finely chopped",2 clove,clove,garlic
3397,3 tablespoons peanut or vegetable oil,3 tbsp.,tablespoon,peanut or vegetable oil
3398,"1/2 pound bok choy (1 head), trimmed and thinly sliced",0.5 lb,pound,bok choy ( 1 head )
3399,"2 leeks (1/2 pound), halved lengthwise and thinly sliced",2 lb,pound,)
3400,Pinch chile flakes,,, Pinch chile flakes
3401,"Salt, as needed",,, Salt
3402,"Cooked rice, for serving",,, Cooked rice
3403,"2 large cucumbers (about 1 1/2 pounds), peeled in alternating vertical stripes, seeded, then cut on the bias 1/4-inch thick",2 ,unit,large cucumbers ( about 1 1/2 pounds )
3404,Kosher salt,,, Kosher salt
3405,3 tablespoons vegetable oil,3 tbsp.,tablespoon,vegetable oil
3406,"1 (14-ounce) package extra-firm tofu, crumbled",14 oz,ounce,package extra firm tofu
3407,"1 garlic clove, finely chopped",,, 1 garlic clove
3408,"Finely chopped scallions, toasted white sesame seeds and steamed rice, for serving (optional)",,, Finely chopped scallions
3409,Freshly ground white pepper,,, Freshly ground white pepper
3410,2 tablespoons soy sauce or tamari,2 tbsp.,tablespoon,soy sauce or tamari
3411,2 tablespoons rice vinegar,2 tbsp.,tablespoon,rice vinegar
3412,1 teaspoon sesame oil,1 tsp.,teaspoon,sesame oil
3413,1 teaspoon cornstarch,1 tsp.,teaspoon,cornstarch
3414,1/2 teaspoon red-pepper flakes,0.5 tsp.,teaspoon,red pepper flakes
3415,1/2 teaspoon Sichuan chile flakes,0.5 tsp.,teaspoon,Sichuan chile flakes
3416,1 head of iceberg lettuce (about 1½ pounds),1 head,head,of iceberg lettuce ( about 1½ pounds )
3417,1 tablespoon soy sauce,1 tbsp.,tablespoon,soy sauce
3418,1 tablespoon sesame oil,1 tbsp.,tablespoon,sesame oil
3419,"2 teaspoons vegetarian stir-fry sauce, or oyster sauce",2 tsp.,teaspoon,vegetarian stir fry sauce
3420,1/4 teaspoon granulated sugar,0.25 tsp.,teaspoon,granulated sugar
3421,Kosher salt (Diamond Crystal),,, Kosher salt (Diamond Crystal)
3422,Black or white pepper,,, Black or white pepper
3423,2 tablespoons plus ¼ cup extra-virgin olive oil,2 tbsp.,tablespoon,plus ¼ cup extra virgin olive oil
3424,"1 (1-inch) piece of ginger, peeled and finely chopped",,, 1 (1 inch) piece of ginger
3425,"6 garlic cloves, peeled and thinly sliced",,, 6 garlic cloves
3426,4 eggs,4 ,unit,eggs
3427,"Steamed rice, for serving",,, Steamed rice
3428,1 tablespoon toasted sesame seeds,1 tbsp.,tablespoon,toasted sesame seeds
3429,"2 scallions, green and white parts, finely sliced",2 ,unit,scallions
3430,"Maggi seasoning sauce, for serving (optional)",,, Maggi seasoning sauce
3431,1 pound Asian eggplant,1 lb,pound,Asian eggplant
3432,1 tablespoon rice wine or dry sherry,1 tbsp.,tablespoon,rice wine or dry sherry
3433,2 tablespoons hoisin sauce,2 tbsp.,tablespoon,hoisin sauce
3434,1 teaspoon low-sodium soy sauce,1 tsp.,teaspoon,low sodium soy sauce
3435,"2 tablespoons peanut oil, rice bran oil or canola oil",2 tbsp.,tablespoon,peanut oil
3436,"1/2 pound firm tofu, cut in 1/2-inch squares and drained on paper towels",0.5 lb,pound,firm tofu
3437,1 tablespoon minced ginger,1 tbsp.,tablespoon,minced ginger
3438,"2 fat garlic cloves, minced",,, 2 fat garlic cloves
3439,1/2 teaspoon red pepper flakes,0.5 tsp.,teaspoon,red pepper flakes
3440,3 bell peppers of varying colors,3 ,unit,bell peppers of varying colors
3441,1 Anaheim pepper,1 ,unit,Anaheim pepper
3442,Salt to taste,,, Salt to taste
3443,"1 pound large shrimp, peeled and deveined",1 lb,pound,large shrimp
3444,Salt to taste,,, Salt to taste
3445,1/8 teaspoon sugar,0.125 tsp.,teaspoon,sugar
3446,2 tablespoons canola oil or light sesame oil,2 tbsp.,tablespoon,canola oil or light sesame oil
3447,1 tablespoon minced ginger,1 tbsp.,tablespoon,minced ginger
3448,1 tablespoon minced garlic,1 tbsp.,tablespoon,minced garlic
3449,1/4 to 1/2 teaspoon crumbled dried red chili,0.25 tsp.,teaspoon,crumbled dried red chili
3450,2 tablespoons sesame seeds,2 tbsp.,tablespoon,sesame seeds
3451,"1 generous bunch spinach (about 1 pound), stems trimmed at the end, rinsed in 2 changes water",1 bunch,bunch,spinach ( about 1 pound )
3452,2 teaspoons dark sesame oil,2 tsp.,teaspoon,dark sesame oil
3453,1 tablespoon peanut butter (to taste),1 tbsp.,tablespoon,peanut butter ( to taste )
3454,1 tablespoon soy sauce,1 tbsp.,tablespoon,soy sauce
3455,2 tablespoons white wine vinegar or seasoned rice wine vinegar,2 tbsp.,tablespoon,white wine vinegar or seasoned rice wine vinegar
3456,1 to 2 teaspoons hot red pepper oil (to taste),1 tsp.,teaspoon,hot red pepper oil ( to taste )
3457,Pinch of cayenne,,, Pinch of cayenne
3458,Salt,,, Salt
3459,freshly ground pepper to taste,,, freshly ground pepper to taste
3460,"2 large garlic cloves, minced",2 ,unit,large garlic cloves
3461,1 tablespoon finely minced fresh ginger,1 tbsp.,tablespoon,finely minced fresh ginger
3462,1 tablespoon sesame oil,1 tbsp.,tablespoon,sesame oil
3463,1/2 cup vegetable or chicken broth,0.5 cup,cup,vegetable or chicken broth
3464,2 tablespoons canola oil,2 tbsp.,tablespoon,canola oil
3465,"1/2 pound snow peas, strings and stem ends removed",0.5 lb,pound,snow peas
3466,"1 bunch scallions, white and light green parts only",1 bunch,bunch,scallions
3467,"1/4 pound firm tofu, sliced (optional)",0.25 lb,pound,firm tofu
3468,"8 ounces soba noodles, cooked",8 oz,ounce,soba noodles
3469,"4 large radishes, trimmed, cut in half, and thinly sliced",4 ,unit,large radishes
3470,3 tablespoons chopped cilantro,3 tbsp.,tablespoon,chopped cilantro
3471,"1 1/2 pounds pencil-thin asparagus (or substitute small or medium asparagus, split lengthwise)",1.5 lb,pound,pencil thin asparagus ( or substitute small or medium asparagus
3472,1 tablespoon vegetable oil,1 tbsp.,tablespoon,vegetable oil
3473,Salt and pepper,,, Salt and pepper
3474,"3 garlic cloves, minced",,, 3 garlic cloves
3475,1 tablespoon grated ginger,1 tbsp.,tablespoon,grated ginger
3476,"1 serrano or other fresh hot chile, finely chopped",1 ,unit,serrano or other fresh hot chile
3477,"A large handful of basil, mint and cilantro leaves",,, A large handful of basil
3478,1 tablespoon soy sauce (low-sodium if desired),1 tbsp.,tablespoon,soy sauce ( low sodium if desired )
3479,1 tablespoon Shao Hsing rice wine or dry sherry,1 tbsp.,tablespoon,Shao Hsing rice wine or dry sherry
3480,2 teaspoons dark Asian sesame oil,2 tsp.,teaspoon,dark Asian sesame oil
3481,1/4 to 1/2 teaspoon salt (to taste),0.25 tsp.,teaspoon,salt ( to taste )
3482,"1/4 teaspoon ground pepper, preferably white pepper",0.25 tsp.,teaspoon,ground pepper
3483,1/4 teaspoon sugar,0.25 tsp.,teaspoon,sugar
3484,1 tablespoon peanut oil or canola oil,1 tbsp.,tablespoon,peanut oil or canola oil
3485,1 tablespoon minced garlic,1 tbsp.,tablespoon,minced garlic
3486,1 tablespoon minced ginger,1 tbsp.,tablespoon,minced ginger
3487,"1 pound Swiss chard, preferably rainbow chard, stems trimmed, washed in two changes of water and cut crosswise in 1/2-inch strips",1 lb,pound,Swiss chard
3488,"1 medium red bell pepper, cut in 1/4-by-2-inch julienne 1 cup julienne",1 ,unit,medium red bell pepper
3489,1/4 cup thinly sliced scallions or minced red onion,0.25 cup,cup,thinly sliced scallions or minced red onion
3490,1/4 cup coarsely chopped cilantro (optional),0.25 cup,cup,coarsely chopped cilantro ( optional )
3491,"Cooked quinoa, brown or red rice, or rice noodles for serving",,, Cooked quinoa
3492,1/2 pound firm tofu,0.5 lb,pound,firm tofu
3493,2 tablespoons soy sauce,2 tbsp.,tablespoon,soy sauce
3494,1 1/2 teaspoons brown sugar,1.5 tsp.,teaspoon,brown sugar
3495,"2 tablespoons vegetable, peanut or canola oil",2 tbsp.,tablespoon,vegetable
3496,2 teaspoons hoisin sauce,2 tsp.,teaspoon,hoisin sauce
3497,1 teaspoon sesame oil,1 tsp.,teaspoon,sesame oil
3498,"2 red bell peppers, seeded and cut in 1-inch squares",2 ,unit,red bell peppers
3499,"1 green bell pepper, seeded and cut in 1-inch squares",1 ,unit,green bell pepper
3500,1 tablespoon minced fresh ginger,1 tbsp.,tablespoon,minced fresh ginger
3501,"2 large garlic cloves, green shoots removed, minced",2 ,unit,large garlic cloves
3502,1/4 to 1/2 teaspoon dried red pepper flakes (to taste),0.25 tsp.,teaspoon,dried red pepper flakes ( to taste )
3503,"2 scallions, white and green parts, cut on the diagonal into 1-inch lengths",2 ,unit,scallions
3504,Cooked rice or noodles for serving,,, Cooked rice or noodles for serving
3505,Salt to taste,,, Salt to taste
3506,"1/2 pound broccoli florets, cut to the same size about 4 cups",0.5 lb,pound,broccoli florets
3507,"3/4 pound skinless, boneless chicken breast or tenders, preferably from a small producer of free-range chickens, cut into pieces 1/4-inch thick and 1 inch long",0.75 lb,pound,skinless
3508,2 tablespoons finely shredded or minced ginger,2 tbsp.,tablespoon,finely shredded or minced ginger
3509,1 tablespoon minced shallot,1 tbsp.,tablespoon,minced shallot
3510,1 tablespoon minced garlic,1 tbsp.,tablespoon,minced garlic
3511,2 tablespoons Shao Hsing rice wine or dry sherry,2 tbsp.,tablespoon,Shao Hsing rice wine or dry sherry
3512,1 tablespoons low-sodium soy sauce,1 tbsp.,tablespoon,low sodium soy sauce
3513,2 teaspoons cornstarch,2 tsp.,teaspoon,cornstarch
3514,3/4 teaspoon sugar,0.75 tsp.,teaspoon,sugar
3515,1/4 teaspoon red pepper flakes,0.25 tsp.,teaspoon,red pepper flakes
3516,1/4 cup chicken broth or water,0.25 cup,cup,chicken broth or water
3517,2 teaspoons rice vinegar,2 tsp.,teaspoon,rice vinegar
3518,2 tablespoons peanut or canola oil,2 tbsp.,tablespoon,peanut or canola oil
3519,"1 large red bell pepper 6 to 8 ounces, cut in 2-inch julienne",1 ,unit,large red bell pepper 6 to 8 ounces
3520,1/4 cup extra-virgin olive oil,0.25 cup,cup,extra virgin olive oil
3521,"1 medium onion, finely chopped",1 ,unit,medium onion
3522,Kosher salt,,, Kosher salt
3523,"4 garlic cloves, peeled and thinly sliced",,, 4 garlic cloves
3524,3 tablespoons tomato paste,3 tbsp.,tablespoon,tomato paste
3525,1 (28-ounce) can tomato purée,28 oz,ounce,can tomato purée
3526,Kosher salt and black pepper,,, Kosher salt and black pepper
3527,1 pound fresh ricotta (about 2 cups),1 lb,pound,fresh ricotta ( about 2 cups )
3528,"10 ounces fresh mozzarella, grated (about 2 1/2 cups)",10 oz,ounce,fresh mozzarella
3529,"5 1/2 ounces Parmesan, finely grated (about 2 cups)",5.5 oz,ounce,Parmesan
3530,2 egg yolks,2 ,unit,egg yolks
3531,1 garlic clove,,, 1 garlic clove
3532,12 ounces jumbo shells,12 oz,ounce,jumbo shells
3533,Extra-virgin olive oil,,, Extra virgin olive oil
3534,"1 small onion, finely diced",1 ,unit,small onion
3535,"2 pounds zucchini, sliced into 1/4-inch-thick pieces (for larger zucchini, cut in half lengthwise before slicing)",2 lb,pound,zucchini
3536,Salt and pepper,,, Salt and pepper
3537,"2 garlic cloves, minced, or 2 tablespoons chopped green garlic",,, 2 garlic cloves
3538,"1 ounce basil, about 2 cups loose leaves",1 oz,ounce,basil
3539,1 pound ziti or other dry pasta,1 lb,pound,ziti or other dry pasta
3540,"8 ounces ricotta, about 1 cup (see recipe)",8 oz,ounce,ricotta
3541,Pinch of crushed red pepper,,, Pinch of crushed red pepper
3542,Zest of 1 lemon,,, Zest of 1 lemon
3543,"2 ounces grated Parmesan, pecorino or a mixture, about 1 cup, plus more for serving",2 oz,ounce,grated Parmesan
3544,"2 pounds medium zucchini, yellow summer squash or a combination, trimmed",2 lb,pound,medium zucchini
3545,Kosher salt,,, Kosher salt
3546,6 tablespoons unsalted butter (3/4 stick),6 tbsp.,tablespoon,unsalted butter ( 3/4 stick )
3547,"3 cups rye bread crumbs (about 8 ounces), preferably from day-old seeded or seedless loaf",3 cup,cup,rye bread crumbs ( about 8 ounces )
3548,"3 tablespoons pickle juice, from a jar of dill pickles",3 tbsp.,tablespoon,pickle juice
3549,"1 large yellow onion, halved and thinly sliced",1 ,unit,large yellow onion
3550,1 tablespoon minced garlic (about 2 large cloves),1 tbsp.,tablespoon,minced garlic ( about 2 large cloves )
3551,1 teaspoon roughly chopped fresh thyme leaves,1 tsp.,teaspoon,roughly chopped fresh thyme leaves
3552,1/4 teaspoon red-pepper flakes,0.25 tsp.,teaspoon,red pepper flakes
3553,1/2 teaspoon black pepper,0.5 tsp.,teaspoon,black pepper
3554,1 1/2 cups grated Gruyère (about 4 ounces),1.5 cup,cup,grated Gruyère ( about 4 ounces )
3555,"4 large scallions, sliced",4 ,unit,large scallions
3556,"12 ounces Swiss chard (about 1 large bunch), preferably green, stems separated and chopped, leaves torn into 2-inch pieces",12 oz,ounce,Swiss chard ( about 1 large bunch )
3557,"2 celery stalks, chopped",2 ,unit,celery stalks
3558,"3 garlic cloves, finely chopped",,, 3 garlic cloves
3559,3 fresh thyme sprigs,3 ,unit,fresh thyme sprigs
3560,"1/3 cup extra-virgin olive oil, plus more for serving",0.333333 cup,cup,extra virgin olive oil
3561,"1/2 pound green beans, trimmed and cut into 1-inch pieces",0.5 lb,pound,green beans
3562,"2 cups frozen (or fresh) lima beans or edamame, thawed if frozen",2 cup,cup,frozen ( or fresh ) lima beans or edamame
3563,1/2 teaspoon granulated sugar,0.5 tsp.,teaspoon,granulated sugar
3564,Kosher salt (such as Diamond Crystal) and freshly ground black pepper,,, Kosher salt (such as Diamond Crystal) and freshly ground black pepper
3565,1/3 cup dried or fresh bread crumbs,0.333333 cup,cup,dried or fresh bread crumbs
3566,"Crusty bread, for serving",,, Crusty bread
3567,"1 (14-ounce) package extra-firm tofu, drained",14 oz,ounce,package extra firm tofu
3568,1 1/2 cups pickle juice,1.5 cup,cup,pickle juice
3569,1 tablespoon hot sauce,1 tbsp.,tablespoon,hot sauce
3570,1 tablespoon Dijon mustard,1 tbsp.,tablespoon,Dijon mustard
3571,1 teaspoon gochugaru or red-pepper flakes,1 tsp.,teaspoon,gochugaru or red pepper flakes
3572,2 tablespoons grapeseed oil or other neutral oil,2 tbsp.,tablespoon,grapeseed oil or other neutral oil
3573,1/2 cup Dijon mustard,0.5 cup,cup,Dijon mustard
3574,2 cups all-purpose flour,2 cup,cup,all purpose flour
3575,1/2 teaspoon baking powder,0.5 tsp.,teaspoon,baking powder
3576,1 teaspoon smoked paprika,1 tsp.,teaspoon,smoked paprika
3577,1/2 teaspoon onion powder,0.5 tsp.,teaspoon,onion powder
3578,1/2 teaspoon garlic powder,0.5 tsp.,teaspoon,garlic powder
3579,1/2 teaspoon ground cayenne,0.5 tsp.,teaspoon,ground cayenne
3580,"1 teaspoon kosher salt, plus more as needed",1 tsp.,teaspoon,kosher salt
3581,1 teaspoon black pepper,1 tsp.,teaspoon,black pepper
3582,"Grapeseed oil or other neutral oil, for frying",,, Grapeseed oil or other neutral oil
3583,6 potato buns or other soft rolls,6 ,unit,potato buns or other soft rolls
3584,"Vegan mayonnaise and hot sauce, as needed",,, Vegan mayonnaise and hot sauce
3585,"Thinly shredded green cabbage and dill pickles, for serving",,, Thinly shredded green cabbage and dill pickles
3586,Kosher salt and black pepper,,, Kosher salt and black pepper
3587,1 pound large or medium shell pasta,1 lb,pound,large or medium shell pasta
3588,"3 tablespoons extra-virgin olive oil, plus more for drizzling",3 tbsp.,tablespoon,extra virgin olive oil
3589,"1 pound sea scallops, patted dry",1 lb,pound,sea scallops
3590,2 cups fresh corn kernels (from 2 ears of corn),2 cup,cup,fresh corn kernels ( from 2 ears of corn )
3591,1/4 cup thinly sliced scallions,0.25 cup,cup,thinly sliced scallions
3592,"2 garlic cloves, thinly sliced",,, 2 garlic cloves
3593,2 tablespoons fresh lemon juice,2 tbsp.,tablespoon,fresh lemon juice
3594,2 tablespoons unsalted butter,2 tbsp.,tablespoon,unsalted butter
3595,1/2 cup finely grated Parmigiano-Reggiano,0.5 cup,cup,finely grated Parmigiano Reggiano
3596,"1/4 cup chopped basil, plus more for garnish",0.25 cup,cup,chopped basil
3597,"1/2 cup unsalted butter (1 stick), at room temperature, plus more for greasing the pan",0.5 cup,cup,unsalted butter ( 1 stick )
3598,"6 large sweet potatoes (about 4 pounds), scrubbed",6 ,unit,large sweet potatoes ( about 4 pounds )
3599,"2 large eggs, at room temperature",2 ,unit,large eggs
3600,1 (14-ounce) can sweetened condensed milk,14 oz,ounce,can sweetened condensed milk
3601,1/4 cup granulated sugar,0.25 cup,cup,granulated sugar
3602,1 teaspoon vanilla extract,1 tsp.,teaspoon,vanilla extract
3603,1 teaspoon kosher salt,1 tsp.,teaspoon,kosher salt
3604,1 cup finely chopped pecans,1 cup,cup,finely chopped pecans
3605,1 cup lightly crushed cornflakes (optional),1 cup,cup,lightly crushed cornflakes ( optional )
3606,1/2 packed cup light or dark brown sugar,0.5 cup,cup,light or dark brown sugar
3607,1/2 cup all-purpose flour,0.5 cup,cup,all purpose flour
3608,"1/4 cup unsalted butter (1/2 stick), melted",0.25 cup,cup,unsalted butter ( 1/2 stick )
3609,"2 cups mini marshmallows, plus more to taste",2 cup,cup,mini marshmallows
3610,"1 1/2 (14-ounce) packages firm tofu, drained",21 oz,ounce,packages firm tofu
3611,2 tablespoons canola oil,2 tbsp.,tablespoon,canola oil
3612,2 tablespoons sesame oil,2 tbsp.,tablespoon,sesame oil
3613,1 (8-ounce) package all-buckwheat soba noodles,8 oz,ounce,package all buckwheat soba noodles
3614,"4 garlic cloves, smashed",,, 4 garlic cloves
3615,"1 (1-inch) piece ginger, peeled and thinly sliced",,, 1 (1 inch) piece ginger
3616,"1 small bunch green onions, white and green parts separated, cut into 2-inch matchsticks",1 ,unit,small bunch green onions
3617,1/3 cup soy sauce or tamari,0.333333 cup,cup,soy sauce or tamari
3618,3 tablespoons dark brown sugar,3 tbsp.,tablespoon,dark brown sugar
3619,1 teaspoon black pepper,1 tsp.,teaspoon,black pepper
3620,Pinch of red-pepper flakes,,, Pinch of red pepper flakes
3621,"4 mini or 1 large, thin-skinned cucumber, thinly sliced",4 ,unit,mini or 1 large
3622,"4 radishes, thinly sliced",4 ,unit,radishes
3623,"Handful of cilantro leaves, for serving",,, Handful of cilantro leaves
3624,"1 lime, cut in wedges, for serving",1 ,unit,lime
3625,"1 (14-ounce) package extra-firm tofu, drained",14 oz,ounce,package extra firm tofu
3626,"2 pounds dumpling, delicata or acorn squash, halved and seeded",2 lb,pound,dumpling
3627,"1 1/2 tablespoons soy sauce, more to taste",1.5 tbsp.,tablespoon,soy sauce
3628,1/2 teaspoon sriracha or other hot sauce,0.5 tsp.,teaspoon,sriracha or other hot sauce
3629,"Kosher salt, and black pepper",,, Kosher salt
3630,1/4 cup peanut oil,0.25 cup,cup,peanut oil
3631,1 tablespoon honey,1 tbsp.,tablespoon,honey
3632,1 tablespoon toasted sesame seeds,1 tbsp.,tablespoon,toasted sesame seeds
3633,2 tablespoons chopped celery leaves or cilantro,2 tbsp.,tablespoon,chopped celery leaves or cilantro
3634,"2 medium tomatoes, quartered",2 ,unit,medium tomatoes
3635,"1 small yellow onion, roughly chopped",1 ,unit,small yellow onion
3636,"2 large garlic cloves, peeled",2 ,unit,large garlic cloves
3637,"1 3/4 cups neutral oil, such as grapeseed oil, plus more as needed",1.75 cup,cup,neutral oil
